epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.906,1.77779,1.23838,1.17788,0.7883,0.5071,0.57976,0.29493,1.51494,0.7593,1.04024,0.00332919,0.00332919,0.00332919
2,487.193,1.55905,0.84572,1.02657,0.79023,0.50049,0.57671,0.30094,1.50279,0.77375,1.02063,0.00653061,0.00653061,0.00653061
3,721.56,1.57306,0.87579,1.03114,0.78429,0.51756,0.57829,0.29109,1.50858,0.8163,1.03855,0.00960002,0.00960002,0.00960002
4,954.39,1.56979,0.88132,1.03204,0.79245,0.51589,0.58356,0.29743,1.49849,0.79507,1.03311,0.009406,0.009406,0.009406
5,1188.73,1.54718,0.85492,1.02423,0.80956,0.52864,0.59694,0.31089,1.47045,0.75937,1.02633,0.009208,0.009208,0.009208
6,1421.65,1.52522,0.82865,1.01639,0.81714,0.54604,0.61883,0.32994,1.434,0.73204,1.01405,0.00901,0.00901,0.00901
7,1656.7,1.5019,0.8006,1.00967,0.81875,0.54825,0.62355,0.33312,1.43515,0.72843,1.01777,0.008812,0.008812,0.008812
8,1889.06,1.47682,0.78493,1.00206,0.82531,0.5629,0.63609,0.34265,1.40232,0.69975,1.00644,0.008614,0.008614,0.008614
9,2122.35,1.47089,0.77058,1.00353,0.82885,0.56052,0.63472,0.34025,1.39908,0.69045,1.01122,0.008416,0.008416,0.008416
10,2355.63,1.45125,0.75687,0.99596,0.83444,0.56405,0.64355,0.34645,1.39632,0.67649,1.00232,0.008218,0.008218,0.008218
11,2588.24,1.43975,0.74717,0.99523,0.83624,0.57417,0.65161,0.35137,1.38187,0.67191,1.00005,0.00802,0.00802,0.00802
12,2820.64,1.43213,0.73667,0.99131,0.84261,0.57507,0.65776,0.35707,1.38045,0.65817,0.9965,0.007822,0.007822,0.007822
13,3053.14,1.42354,0.72842,0.98758,0.84731,0.58226,0.66144,0.36076,1.37684,0.65336,0.99922,0.007624,0.007624,0.007624
14,3286.07,1.41275,0.72024,0.9853,0.84317,0.58427,0.66421,0.36217,1.36113,0.65419,0.99215,0.007426,0.007426,0.007426
15,3518.39,1.40679,0.71063,0.98173,0.84813,0.58316,0.6661,0.36466,1.35982,0.64108,0.99438,0.007228,0.007228,0.007228
16,3752.2,1.40455,0.70408,0.9788,0.84085,0.58818,0.66762,0.36497,1.35731,0.64447,0.9937,0.00703,0.00703,0.00703
17,3985.74,1.39637,0.70039,0.97885,0.84812,0.59153,0.67468,0.37197,1.34459,0.62176,0.98666,0.006832,0.006832,0.006832
18,4218.82,1.38932,0.69051,0.97661,0.85221,0.59277,0.67239,0.36829,1.35204,0.62283,0.98934,0.006634,0.006634,0.006634
19,4452.58,1.39132,0.69427,0.97779,0.85057,0.59745,0.67731,0.37042,1.35119,0.62312,0.98592,0.006436,0.006436,0.006436
20,4686.5,1.38226,0.68355,0.97132,0.84901,0.60192,0.68209,0.37584,1.33779,0.61716,0.98544,0.006238,0.006238,0.006238
21,4920.3,1.37185,0.67739,0.97298,0.85151,0.60086,0.68033,0.37463,1.33937,0.61344,0.98649,0.00604,0.00604,0.00604
22,5152.74,1.36128,0.67088,0.96943,0.85957,0.6,0.68541,0.38121,1.32704,0.60101,0.98408,0.005842,0.005842,0.005842
23,5385.79,1.36632,0.67034,0.9701,0.85398,0.60154,0.68731,0.37911,1.33465,0.60635,0.98627,0.005644,0.005644,0.005644
24,5619.58,1.36114,0.66603,0.96773,0.85473,0.60612,0.68951,0.38107,1.33244,0.60196,0.98487,0.005446,0.005446,0.005446
25,5853.45,1.36109,0.66298,0.96658,0.854,0.6092,0.68927,0.3823,1.32302,0.59251,0.98105,0.005248,0.005248,0.005248
26,6086.1,1.34939,0.65474,0.96395,0.86049,0.60895,0.69311,0.38638,1.31887,0.58894,0.98294,0.00505,0.00505,0.00505
27,6319.93,1.35008,0.65366,0.9652,0.86159,0.60807,0.6932,0.38613,1.31759,0.58636,0.97767,0.004852,0.004852,0.004852
28,6553.43,1.33927,0.6438,0.96106,0.86045,0.60933,0.69609,0.3888,1.31869,0.58636,0.97946,0.004654,0.004654,0.004654
29,6786.71,1.34081,0.64814,0.95913,0.85738,0.61394,0.69595,0.38815,1.31568,0.58192,0.97788,0.004456,0.004456,0.004456
30,7019.75,1.338,0.64028,0.9625,0.85791,0.61343,0.69788,0.38786,1.31688,0.57802,0.98257,0.004258,0.004258,0.004258
31,7258.4,1.32093,0.63056,0.95911,0.85838,0.61636,0.69869,0.39036,1.31083,0.57526,0.9782,0.00406,0.00406,0.00406
32,7494.51,1.32078,0.62851,0.95484,0.85861,0.61812,0.70134,0.39304,1.31242,0.57378,0.97996,0.003862,0.003862,0.003862
33,7732.21,1.31086,0.62323,0.95568,0.86345,0.61568,0.70145,0.39257,1.31312,0.57249,0.97894,0.003664,0.003664,0.003664
34,7969.54,1.30708,0.62102,0.95288,0.86142,0.61888,0.70317,0.39421,1.30703,0.56911,0.9794,0.003466,0.003466,0.003466
35,8204.4,1.30305,0.61705,0.95279,0.86347,0.61832,0.7024,0.39161,1.3107,0.56933,0.97904,0.003268,0.003268,0.003268
36,8443.82,1.29513,0.60952,0.94782,0.86842,0.61751,0.70537,0.39572,1.30806,0.5659,0.97769,0.00307,0.00307,0.00307
37,8680.78,1.30052,0.6126,0.95055,0.86848,0.61851,0.70546,0.39502,1.30802,0.56486,0.97828,0.002872,0.002872,0.002872
38,8919.58,1.29174,0.60504,0.94644,0.86452,0.62314,0.70737,0.39717,1.30583,0.56192,0.97962,0.002674,0.002674,0.002674
39,9159.5,1.29136,0.60351,0.94627,0.86491,0.6219,0.70647,0.39654,1.30619,0.56096,0.97815,0.002476,0.002476,0.002476
40,9394.91,1.28172,0.5967,0.94517,0.86257,0.6219,0.70728,0.39682,1.30664,0.56092,0.97826,0.002278,0.002278,0.002278
41,9628.78,1.26413,0.57964,0.94416,0.8662,0.61891,0.70594,0.396,1.30734,0.56405,0.97816,0.00208,0.00208,0.00208
42,9861.31,1.2518,0.57044,0.94364,0.86386,0.62185,0.70745,0.39775,1.3045,0.56296,0.97876,0.001882,0.001882,0.001882
43,10092.5,1.24227,0.56104,0.94117,0.86354,0.62029,0.70632,0.39601,1.30826,0.56154,0.98063,0.001684,0.001684,0.001684
44,10325.6,1.23504,0.55516,0.93943,0.86796,0.62032,0.7078,0.39628,1.3086,0.56087,0.98236,0.001486,0.001486,0.001486
45,10556.7,1.22566,0.55005,0.93776,0.86617,0.62082,0.70808,0.39668,1.31153,0.56076,0.98256,0.001288,0.001288,0.001288
46,10786.9,1.2198,0.54461,0.93248,0.86532,0.62023,0.70816,0.39713,1.31166,0.56028,0.98147,0.00109,0.00109,0.00109
